Date,Open,High,Low,Close,Adj Close,Volume,Binary Sentiment Analysis
10/29/2019,0.24,0.26,0.24,0.255,0.255,134489,1
10/30/2019,0.25,0.3244,0.25,0.2974,0.2974,570391,2
10/31/2019,0.3034,0.3374,0.265,0.29,0.29,298349,1
11/1/2019,0.3,0.3244,0.27,0.2999,0.2999,466118,1
11/4/2019,0.3275,0.35,0.29,0.294,0.294,389928,1
11/5/2019,0.3295,0.3299,0.27921,0.27921,0.27921,148472,1
11/6/2019,0.29,0.3247,0.2851,0.31,0.31,132939,1
11/7/2019,0.325,0.345,0.3,0.314,0.314,33412,1
11/8/2019,0.3192,0.34,0.315,0.3398,0.3398,114732,0
11/11/2019,0.35,0.38,0.335,0.36,0.36,195529,1
11/12/2019,0.36,0.38,0.3303,0.3303,0.3303,237318,2
11/13/2019,0.37,0.37,0.345,0.3674,0.3674,51400,1
11/14/2019,0.38,0.4,0.34,0.351,0.351,132440,1
11/15/2019,0.351,0.38,0.315,0.33301,0.33301,61947,1
11/18/2019,0.32,0.349,0.295,0.29846,0.29846,113093,1
11/19/2019,0.3399,0.3399,0.243,0.25,0.25,146222,2
11/20/2019,0.235,0.2799,0.23,0.245,0.245,272921,1
11/21/2019,0.2624,0.2688,0.2452,0.265,0.265,133876,1
11/22/2019,0.269,0.27,0.25,0.2659,0.2659,243916,2
11/25/2019,0.2658,0.2658,0.25,0.25,0.25,34990,1
11/26/2019,0.2648,0.3,0.26,0.2898,0.2898,133016,2
11/27/2019,0.2805,0.2885,0.255,0.275,0.275,36510,2
11/29/2019,0.288,0.29166,0.288,0.29166,0.29166,1210,1
12/2/2019,0.2912,0.2912,0.271,0.28,0.28,5612,1
12/3/2019,0.27,0.27069,0.25,0.25,0.25,65478,1
12/4/2019,0.2767,0.3148,0.25,0.2798,0.2798,160899,1
12/5/2019,0.34315,0.34315,0.26535,0.29725,0.29725,65131,1
12/6/2019,0.3,0.3,0.262,0.2985,0.2985,162075,1
12/9/2019,0.28148,0.28148,0.2501,0.27238,0.27238,117387,1
12/10/2019,0.2795,0.3,0.26,0.26,0.26,201180,1
12/11/2019,0.2913,0.3025,0.27,0.283,0.283,48436,1
12/12/2019,0.27735,0.305,0.27735,0.305,0.305,28037,1
12/13/2019,0.27,0.3,0.27,0.29296,0.29296,66153,1
12/16/2019,0.3001,0.3002,0.2708,0.2825,0.2825,52065,2
12/17/2019,0.2265,0.3003,0.2265,0.2869,0.2869,26358,2
12/18/2019,0.28564,0.3,0.278,0.29503,0.29503,53350,1
12/19/2019,0.29875,0.33,0.29679,0.315,0.315,79320,2
12/20/2019,0.315,0.325,0.29755,0.301,0.301,12521,1
12/23/2019,0.29,0.31,0.2751,0.305,0.305,47100,1
12/24/2019,0.3015,0.3099,0.27,0.3099,0.3099,18370,1
12/26/2019,0.327,0.327,0.28,0.2875,0.2875,20679,1
12/27/2019,0.29,0.3,0.285,0.3,0.3,25700,2
12/30/2019,0.3,0.315,0.281,0.305,0.305,47518,0
12/31/2019,0.3075,0.33,0.3,0.33,0.33,21729,1
1/2/2020,0.325,0.3384,0.32,0.3384,0.3384,124585,1
1/3/2020,0.3,0.382,0.27,0.368,0.368,192321,1
1/6/2020,0.38155,0.4,0.36045,0.3998,0.3998,113578,1
1/7/2020,0.381,0.405,0.3799,0.38,0.38,316217,1
1/8/2020,0.38,0.404,0.37,0.3998,0.3998,38533,1
1/9/2020,0.425,0.425,0.3702,0.39025,0.39025,55096,1
1/10/2020,0.3951,0.39995,0.3683,0.385,0.385,57713,1
1/13/2020,0.399,0.4,0.383,0.3999,0.3999,31590,1
1/14/2020,0.3733,0.4899,0.3733,0.4899,0.4899,198005,0
1/15/2020,0.5,0.5494,0.43505,0.52,0.52,138652,1
1/16/2020,0.5,0.699,0.5,0.62,0.62,413238,1
1/17/2020,0.65,0.74,0.63998,0.715,0.715,365588,2
1/21/2020,0.73,0.756,0.63,0.756,0.756,282653,1
1/22/2020,0.7899,0.8849,0.765,0.81,0.81,335372,1
1/23/2020,0.83,0.87,0.75,0.87,0.87,215900,0
1/24/2020,0.87,0.97,0.8,0.905,0.905,710482,1
1/27/2020,0.92,0.93,0.88,0.88,0.88,149602,1
1/28/2020,0.88,0.92,0.81,0.88,0.88,226109,1
1/29/2020,0.89,0.89,0.74,0.79,0.79,387946,1
1/30/2020,0.77,0.79,0.70375,0.7325,0.7325,222019,1
1/31/2020,0.72625,0.8322,0.72625,0.8029,0.8029,141261,1
2/3/2020,0.9,0.9,0.77373,0.8,0.8,25984,1
2/4/2020,0.89,0.89,0.79,0.862,0.862,70833,2
2/5/2020,0.87,0.88,0.813,0.814,0.814,64627,1
2/6/2020,0.85,0.86,0.7755,0.85,0.85,60875,1
2/7/2020,0.85,0.85,0.78,0.8,0.8,29309,1
2/10/2020,0.783,0.88,0.783,0.8,0.8,11968,2
2/11/2020,0.785,0.805,0.68,0.72,0.72,206076,1
2/12/2020,0.69125,0.695,0.52492,0.68,0.68,258250,1
2/13/2020,0.669,0.77,0.632,0.73,0.73,77895,1
2/14/2020,0.7,0.78,0.7,0.78,0.78,207534,2
