Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-12-10,921.15,953.4,920.25,949.9,939.81,388912.0,12770.0,365501499.0,139056.0,35.76,33.15,28.75
2015-12-09,940.0,944.35,913.0,915.95,927.25,351669.0,9070.0,326085680.0,,,31.35,-24.05
2015-12-08,950.1,954.0,937.7,942.45,946.77,223479.0,6276.0,211582102.0,35394.0,15.84,16.3,-7.65
2015-12-07,967.0,972.9,951.0,953.7,957.11,192243.0,6620.0,183997770.0,36384.0,18.93,21.9,-13.3
2015-12-04,973.5,976.0,961.9,965.75,967.38,183717.0,5454.0,177723531.0,35461.0,19.3,14.1,-7.75
2015-12-03,977.5,988.25,973.35,976.8,981.34,316800.0,6790.0,310889490.0,164092.0,51.8,14.9,-0.7
2015-12-02,966.4,978.6,965.8,976.6,972.9,169060.0,6145.0,164477886.0,40233.0,23.8,12.8,10.2
2015-12-01,966.4,978.5,962.0,965.55,969.27,169237.0,5572.0,164036217.0,41351.0,24.43,16.5,-0.85
2015-11-30,977.15,983.8,964.0,968.0,970.18,171638.0,6091.0,166520451.0,31088.0,18.11,19.8,-9.15
2015-11-27,990.0,992.0,974.35,979.05,982.77,169451.0,7269.0,166531735.0,39746.0,23.46,17.65,-10.95
2015-11-26,969.9,990.6,968.45,987.7,982.81,300255.0,10162.0,295094271.0,110842.0,36.92,22.15,17.8
2015-11-24,952.05,971.0,950.75,968.0,963.71,228414.0,8926.0,220125991.0,70704.0,30.95,20.25,15.95
2015-11-23,947.55,955.65,945.65,952.1,951.22,166800.0,6314.0,158663661.0,39880.0,23.91,10.0,4.55
2015-11-20,935.4,952.1,925.4,945.95,943.21,303967.0,7996.0,286705429.0,65417.0,21.52,26.7,10.55
2015-11-19,919.5,937.5,918.0,934.2,931.69,225990.0,9021.0,210552773.0,71659.0,31.71,19.5,14.7
2015-11-18,927.0,931.65,910.0,912.35,923.14,229960.0,7593.0,212285146.0,29227.0,12.71,21.65,-14.65
2015-11-17,936.7,938.7,925.95,927.5,930.78,171497.0,4516.0,159625126.0,36529.0,21.3,12.75,-9.2
2015-11-16,929.0,941.8,924.7,933.05,933.34,397081.0,8783.0,370610970.0,77005.0,19.39,17.1,4.05
2015-11-13,918.0,937.15,915.0,930.2,926.95,275272.0,7902.0,255164484.0,59710.0,21.69,22.15,12.2
2015-11-11,928.0,933.0,927.0,928.95,929.23,85638.0,2641.0,79577342.0,29469.0,34.41,6.0,0.95
2015-11-10,957.1,958.95,917.0,921.95,933.32,278248.0,9817.0,259693826.0,70752.0,25.43,41.95,-35.15
2015-11-09,935.0,962.25,925.0,960.0,948.31,267514.0,8720.0,253685918.0,53137.0,19.86,37.25,25.0
2015-11-06,938.0,954.0,938.0,952.45,948.6,175476.0,7708.0,166456835.0,57438.0,32.73,16.0,14.45
2015-11-05,951.0,951.5,933.05,936.85,943.7,243728.0,5288.0,230004910.0,61342.0,25.17,18.45,-14.15
2015-11-04,972.0,975.0,946.7,952.1,962.71,172804.0,5939.0,166360964.0,49556.0,28.68,28.3,-19.9
2015-11-03,962.0,970.0,962.0,966.4,965.58,181908.0,6062.0,175646815.0,72767.0,40.0,8.0,4.4
2015-11-02,946.1,960.5,945.25,959.15,953.79,156238.0,5260.0,149018460.0,52839.0,33.82,15.25,13.05
2015-10-30,941.55,955.75,940.8,947.85,950.01,172739.0,6341.0,164104107.0,53879.0,31.19,14.95,6.3
2015-10-29,938.8,944.95,935.5,941.55,940.36,122316.0,4102.0,115021684.0,31883.0,26.07,9.45,2.75
2015-10-28,938.0,944.5,930.35,937.25,937.89,140606.0,4750.0,131873133.0,27651.0,19.67,14.15,-0.75
2015-10-27,941.8,947.75,937.5,939.2,941.14,142859.0,4432.0,134449842.0,49075.0,34.35,10.25,-2.6
2015-10-26,958.05,963.0,940.0,943.0,948.36,151129.0,4227.0,143325113.0,34421.0,22.78,23.0,-15.05
2015-10-23,962.1,973.35,950.8,955.85,963.11,239795.0,7265.0,230949032.0,58347.0,24.33,22.55,-6.25
2015-10-21,956.0,974.0,952.8,954.75,962.64,290037.0,9210.0,279200931.0,61692.0,21.27,21.2,-1.25
2015-10-20,963.0,966.8,951.1,955.45,957.27,206974.0,7181.0,198130553.0,50280.0,24.29,15.7,-7.55
2015-10-19,941.6,965.2,941.6,963.4,956.93,802090.0,22962.0,767541592.0,215718.0,26.89,23.6,21.8
2015-10-16,905.0,914.7,904.0,912.2,911.13,232521.0,8129.0,211856833.0,75022.0,32.26,10.7,7.2
2015-10-15,907.25,910.6,900.1,904.0,904.75,189822.0,5702.0,171742098.0,61452.0,32.37,10.5,-3.25
2015-10-14,893.15,904.0,892.3,902.0,899.97,167406.0,4923.0,150661035.0,36930.0,22.06,11.7,8.85
2015-10-13,887.8,895.0,883.0,892.55,889.83,127540.0,4076.0,113489004.0,22649.0,17.76,12.0,4.75
2015-10-12,890.0,900.65,888.5,892.05,894.61,144413.0,4292.0,129192813.0,35465.0,24.56,12.15,2.05
2015-10-09,896.85,904.9,882.1,886.35,891.53,252976.0,7795.0,225534797.0,61312.0,24.24,22.8,-10.5
2015-10-08,914.15,915.0,886.6,889.15,899.3,293575.0,9218.0,264012606.0,51113.0,17.41,28.4,-25.0
2015-10-07,895.8,917.0,890.05,913.85,903.62,320860.0,9827.0,289933941.0,102933.0,32.08,26.95,18.05
